>>System Error :: Message => Argument 3 passed to Http\Response::__construct() must be of the type array, string given, called in C:\xampp\htdocs\framework\vendor\src\ozsa-src\Desing\Singleaton.php on line 19 and defined | ErrorNo => 4096 | ErrorFile => C:\xampp\htdocs\framework\vendor\src\ozsa-src\Http\Response\Response.php | ErrorLine  => 15 |  [ Time : 10:26 | Date : 21.02.2015 ] 
>>System Error :: Message => Argument 3 passed to Http\Response\Factory\ResponseFactory::make() must be of the type array, string given, called in C:\xampp\htdocs\framework\vendor\src\ozsa-src\Http\Response\Response.php on line 23 and defined | ErrorNo => 4096 | ErrorFile => C:\xampp\htdocs\framework\vendor\src\ozsa-src\Http\Response\Factory\ResponseFactory.php | ErrorLine  => 21 |  [ Time : 10:26 | Date : 21.02.2015 ] 
>>System Error :: Message => Argument 1 passed to Symfony\Component\HttpFoundation\ResponseHeaderBag::__construct() must be of the type array, string given, called in C:\xampp\htdocs\framework\vendor\symfony\http-foundation\Symfony\Component\HttpFoundation\Response.php on line 201 and defined | ErrorNo => 4096 | ErrorFile => C:\xampp\htdocs\framework\vendor\symfony\http-foundation\Symfony\Component\HttpFoundation\ResponseHeaderBag.php | ErrorLine  => 51 |  [ Time : 10:26 | Date : 21.02.2015 ] 
>>System Error :: Message => Argument 1 passed to Symfony\Component\HttpFoundation\HeaderBag::__construct() must be of the type array, string given, called in C:\xampp\htdocs\framework\vendor\symfony\http-foundation\Symfony\Component\HttpFoundation\ResponseHeaderBag.php on line 53 and defined | ErrorNo => 4096 | ErrorFile => C:\xampp\htdocs\framework\vendor\symfony\http-foundation\Symfony\Component\HttpFoundation\HeaderBag.php | ErrorLine  => 33 |  [ Time : 10:26 | Date : 21.02.2015 ] 
>>System Error :: Message => Invalid argument supplied for foreach() | ErrorNo => 2 | ErrorFile => C:\xampp\htdocs\framework\vendor\symfony\http-foundation\Symfony\Component\HttpFoundation\HeaderBag.php | ErrorLine  => 35 |  [ Time : 10:26 | Date : 21.02.2015 ] 
>>System Error :: Message => Argument 3 passed to Http\Response::__construct() must be of the type array, string given, called in C:\xampp\htdocs\framework\vendor\src\ozsa-src\Desing\Singleaton.php on line 19 and defined | ErrorNo => 4096 | ErrorFile => C:\xampp\htdocs\framework\vendor\src\ozsa-src\Http\Response\Response.php | ErrorLine  => 15 |  [ Time : 10:26 | Date : 21.02.2015 ] 
>>System Error :: Message => Argument 3 passed to Http\Response\Factory\ResponseFactory::make() must be of the type array, string given, called in C:\xampp\htdocs\framework\vendor\src\ozsa-src\Http\Response\Response.php on line 23 and defined | ErrorNo => 4096 | ErrorFile => C:\xampp\htdocs\framework\vendor\src\ozsa-src\Http\Response\Factory\ResponseFactory.php | ErrorLine  => 21 |  [ Time : 10:26 | Date : 21.02.2015 ] 
>>System Error :: Message => Argument 1 passed to Symfony\Component\HttpFoundation\ResponseHeaderBag::__construct() must be of the type array, string given, called in C:\xampp\htdocs\framework\vendor\symfony\http-foundation\Symfony\Component\HttpFoundation\Response.php on line 201 and defined | ErrorNo => 4096 | ErrorFile => C:\xampp\htdocs\framework\vendor\symfony\http-foundation\Symfony\Component\HttpFoundation\ResponseHeaderBag.php | ErrorLine  => 51 |  [ Time : 10:26 | Date : 21.02.2015 ] 
>>System Error :: Message => Argument 1 passed to Symfony\Component\HttpFoundation\HeaderBag::__construct() must be of the type array, string given, called in C:\xampp\htdocs\framework\vendor\symfony\http-foundation\Symfony\Component\HttpFoundation\ResponseHeaderBag.php on line 53 and defined | ErrorNo => 4096 | ErrorFile => C:\xampp\htdocs\framework\vendor\symfony\http-foundation\Symfony\Component\HttpFoundation\HeaderBag.php | ErrorLine  => 33 |  [ Time : 10:26 | Date : 21.02.2015 ] 
>>System Error :: Message => Invalid argument supplied for foreach() | ErrorNo => 2 | ErrorFile => C:\xampp\htdocs\framework\vendor\symfony\http-foundation\Symfony\Component\HttpFoundation\HeaderBag.php | ErrorLine  => 35 |  [ Time : 10:26 | Date : 21.02.2015 ] 
>>System Error :: Message => Argument 3 passed to Http\Response::__construct() must be of the type array, string given, called in C:\xampp\htdocs\framework\vendor\src\ozsa-src\Desing\Singleaton.php on line 19 and defined | ErrorNo => 4096 | ErrorFile => C:\xampp\htdocs\framework\vendor\src\ozsa-src\Http\Response\Response.php | ErrorLine  => 15 |  [ Time : 10:26 | Date : 21.02.2015 ] 
>>System Error :: Message => Argument 3 passed to Http\Response\Factory\ResponseFactory::make() must be of the type array, string given, called in C:\xampp\htdocs\framework\vendor\src\ozsa-src\Http\Response\Response.php on line 23 and defined | ErrorNo => 4096 | ErrorFile => C:\xampp\htdocs\framework\vendor\src\ozsa-src\Http\Response\Factory\ResponseFactory.php | ErrorLine  => 21 |  [ Time : 10:26 | Date : 21.02.2015 ] 
>>System Error :: Message => Argument 1 passed to Symfony\Component\HttpFoundation\ResponseHeaderBag::__construct() must be of the type array, string given, called in C:\xampp\htdocs\framework\vendor\symfony\http-foundation\Symfony\Component\HttpFoundation\Response.php on line 201 and defined | ErrorNo => 4096 | ErrorFile => C:\xampp\htdocs\framework\vendor\symfony\http-foundation\Symfony\Component\HttpFoundation\ResponseHeaderBag.php | ErrorLine  => 51 |  [ Time : 10:26 | Date : 21.02.2015 ] 
>>System Error :: Message => Argument 1 passed to Symfony\Component\HttpFoundation\HeaderBag::__construct() must be of the type array, string given, called in C:\xampp\htdocs\framework\vendor\symfony\http-foundation\Symfony\Component\HttpFoundation\ResponseHeaderBag.php on line 53 and defined | ErrorNo => 4096 | ErrorFile => C:\xampp\htdocs\framework\vendor\symfony\http-foundation\Symfony\Component\HttpFoundation\HeaderBag.php | ErrorLine  => 33 |  [ Time : 10:26 | Date : 21.02.2015 ] 
>>System Error :: Message => Invalid argument supplied for foreach() | ErrorNo => 2 | ErrorFile => C:\xampp\htdocs\framework\vendor\symfony\http-foundation\Symfony\Component\HttpFoundation\HeaderBag.php | ErrorLine  => 35 |  [ Time : 10:26 | Date : 21.02.2015 ] 
>>System Error :: Message => Argument 3 passed to Http\Response::__construct() must be of the type array, string given, called in C:\xampp\htdocs\framework\vendor\src\ozsa-src\Desing\Singleaton.php on line 19 and defined | ErrorNo => 4096 | ErrorFile => C:\xampp\htdocs\framework\vendor\src\ozsa-src\Http\Response\Response.php | ErrorLine  => 15 |  [ Time : 10:26 | Date : 21.02.2015 ] 
>>System Error :: Message => Argument 3 passed to Http\Response\Factory\ResponseFactory::make() must be of the type array, string given, called in C:\xampp\htdocs\framework\vendor\src\ozsa-src\Http\Response\Response.php on line 23 and defined | ErrorNo => 4096 | ErrorFile => C:\xampp\htdocs\framework\vendor\src\ozsa-src\Http\Response\Factory\ResponseFactory.php | ErrorLine  => 21 |  [ Time : 10:26 | Date : 21.02.2015 ] 
>>System Error :: Message => Argument 1 passed to Symfony\Component\HttpFoundation\ResponseHeaderBag::__construct() must be of the type array, string given, called in C:\xampp\htdocs\framework\vendor\symfony\http-foundation\Symfony\Component\HttpFoundation\Response.php on line 201 and defined | ErrorNo => 4096 | ErrorFile => C:\xampp\htdocs\framework\vendor\symfony\http-foundation\Symfony\Component\HttpFoundation\ResponseHeaderBag.php | ErrorLine  => 51 |  [ Time : 10:26 | Date : 21.02.2015 ] 
>>System Error :: Message => Argument 1 passed to Symfony\Component\HttpFoundation\HeaderBag::__construct() must be of the type array, string given, called in C:\xampp\htdocs\framework\vendor\symfony\http-foundation\Symfony\Component\HttpFoundation\ResponseHeaderBag.php on line 53 and defined | ErrorNo => 4096 | ErrorFile => C:\xampp\htdocs\framework\vendor\symfony\http-foundation\Symfony\Component\HttpFoundation\HeaderBag.php | ErrorLine  => 33 |  [ Time : 10:26 | Date : 21.02.2015 ] 
